id_master,id_using,_pc01_block_name_master,_pc01_block_name_using
rayagada-k.singpur,21-27-kalyanasingpur,k singpur,kalyanasingpur
koraput-jeypore,21-29-jeypur,jeypore,jeypur
sambalpur-dhankauda,21-3-sambalpur dhankauda,dhankauda,sambalpur dhankauda
malkangiri-korukonda,21-30-korkunda,korukonda,korkunda
mayurbhanj-g b nagar,21-7-gopabandhunagar,g b nagar,gopabandhunagar
koriya-bharatpur,22-1-bharatpur janakpur,bharatpur,bharatpur janakpur
durg-balod,22-10-sanjaribalod,balod,sanjaribalod
raipur-arang,22-11-chandkhurai arang,arang,chandkhurai arang
raipur-dharshiwa,22-11-raipur dharsiva,dharshiwa,raipur dharsiva
raipur-fingeswar,22-11-rajim phingeshwar,fingeswar,rajim phingeshwar
dhamtari-kurud,22-13-kurud chormudiya,kurud,kurud chormudiya
dhamtari-nagri,22-13-sihwa nagri,nagri,sihwa nagri
kanker-narharpur,22-14-sarana narharpur,narharpur,sarana narharpur
surguja-ramchandrapur,22-2-ramchandrapur ramanujganj,ramchandrapur,ramchandrapur ramanujganj
jashpur-jashpur,22-3-jashpurnagar,jashpur,jashpurnagar
jashpur-farsabahar,22-3-pharsabahar tapkara,farsabahar,pharsabahar tapkara
damoh-batiyagarh,23-12-barigarh batiagarh,batiyagarh,barigarh batiagarh
satna-majhgwan,23-13-chitrakoot majhgawan,majhgwan,chitrakoot majhgawan
satna-sohawal,23-13-satna sohawal,sohawal,satna sohawal
rewa-raipur(k),23-14-raipurkarchuliyan,raipur k,raipurkarchuliyan
sidhi-waidhan,23-17-baidhan,waidhan,baidhan
ujjain-ujjain rural,23-21-ujjain,ujjain rural,ujjain
shajapur-m. barodiya,23-22-momanbadodiya,m barodiya,momanbadodiya
dhar-umarban,23-25-bankaner umarvan,umarban,bankaner umarvan
bhind-roun,23-3-mihona ron,roun,mihona ron
bhopal-phanda gramin,23-32-phanda bhopal,phanda gramin,phanda bhopal
raisen-badi,23-34-bareli badi,badi,bareli badi
betul-prabhat pattan,23-35-prabhatpattnam,prabhat pattan,prabhatpattnam
hoshangabad-sivni maalva,23-37-seonimalwa,sivni maalva,seonimalwa
gwalior-ghatigaon,23-4-ghatigaon barai,ghatigaon,ghatigaon barai
gwalior-morar(rural),23-4-morar,morar rural,morar
narsimhapur-gotegaon (shridham),23-40-gotegaon,gotegaon shridham,gotegaon
narsimhapur-narsinghpur,23-40-narsimhapur,narsinghpur,narsimhapur
