id_master,id_using,_pc01_block_name_master,_pc01_block_name_using
Jammu-and-Kashmir-UDHAMPUR_DUDU                               ,01-10-dudobasantgarh,dudu,dudobasantgarh
Jharkhand-BOKARO_PETARWAR                           ,20-13-peterbar,petarwar,peterbar
Jharkhand-DHANBAD_BAGHMARA                           ,20-12-baghmaracumkatras,baghmara,baghmaracumkatras
Jharkhand-DHANBAD_DHANBAD                            ,20-12-dhanbadcumkenduadihcumjagta,dhanbad,dhanbadcumkenduadihcumjagta
Jharkhand-DHANBAD_JHARIA,20-12-jhariacumjorapokharcumsindri,jharia,jhariacumjorapokharcumsindri
Jharkhand-DHANBAD_NIRSA                              ,20-12-nirsacumchirkunda,nirsa,nirsacumchirkunda
Jharkhand-GARHWA_MERAL,20-01-meral piprakalan,meral,meral piprakalan
Jharkhand-GUMLA_BHARNO,20-16-bano,bharno,bano
Jharkhand-PASHCHIMI SINGHBHUM_NOAMUNDI ,20-17-noamundi barajamda,noamundi,noamundi barajamda
Jharkhand-PASHCHIMI SINGHBHUM_SADAR CHAIBASA,20-17-chaibasa,sadar chaibasa,chaibasa
Jharkhand-RANCHI_ARKI                               ,20-14-erki tamar2,arki,erki tamar-2
Karnataka-BANGALORE U SOUTH_NORTH                              ,29-20-bangalorenorth,north,bangalorenorth
Karnataka-BANGALORE U SOUTH_SOUTH                              ,29-20-bangaloresouth,south,bangaloresouth
Karnataka-BELGAUM_BELGAUM RURAL.,29-01-belgaum,belgaum rural,belgaum
Karnataka-MYSURU_H.D.KOTE,29-26-heggadadevankote,hdkote,heggadadevankote
Karnataka-MYSORE_T.N.PURA                           ,29-26-tirumakudalnarsipur,tnpura,tirumakudalnarsipur
Karnataka-UTTARA KANNADA_JOIDA                              ,29-10-supa,joida,supa
Kerala-KOTTAYAM_PALA,32-10-pallom,pala,pallom
Kerala-MALAPPURAM_PARAPPANANGADI,32-05-perumpadappa,parappanangadi,perumpadappa
Kerala-THRISSUR_ANTHIKKAD,32-07-anthicad,anthikkad,anthicad
Madhya-Pradesh-BETUL_PRABHAT PATTAN                     ,23-35-prabhatpattnam,prabhat pattan,prabhatpattnam
Madhya-Pradesh-BHIND_ROUN,23-03-mihona ron,roun,mihona ron
Madhya-Pradesh-BHOPAL_PHANDA                             ,23-32-phanda bhopal,phanda,phanda bhopal
Madhya-Pradesh-CHHATARPUR_BARIGARH                           ,23-09-gaurihar barigarh,barigarh,gaurihar barigarh
Madhya-Pradesh-CHHINDWARA_JUNNARDEO                          ,23-43-jamai junnardeo,junnardeo,jamai junnardeo
Madhya-Pradesh-DAMOH_BATIYAGARH,23-12-barigarh batiagarh,batiyagarh,barigarh batiagarh
Madhya-Pradesh-DATIA_SEONDHA,23-05-se-0ndha,seondha,se-0ndha
Madhya-Pradesh-DHAR_UMARBAN,23-25-bankaner umarvan,umarban,bankaner umarvan
Madhya-Pradesh-GWALIOR_GHATIGAON                          ,23-04-ghatigaon barai,ghatigaon,ghatigaon barai
Madhya-Pradesh-GWALIOR_MORAR(RURAL)                       ,23-04-morar,morar rural,morar
Madhya-Pradesh-NARSIMHAPUR_CHICHLI                            ,23-40-babai chichli,chichli,babai chichli
Madhya-Pradesh-NARSIMHAPUR_GOTEGAON (SHRIDHAM)                ,23-40-gotegaon,gotegaon shridham,gotegaon
Madhya-Pradesh-NARSIMHAPUR_NARSINGHPUR,23-40-narsimhapur,narsinghpur,narsimhapur
Madhya-Pradesh-NARSIMHAPUR_SAIKHEDA,23-40-saikheda gadarwara,saikheda,saikheda gadarwara
Madhya-Pradesh-RAISEN_BADI                               ,23-34-bareli badi,badi,bareli badi
Madhya-Pradesh-REWA_RAIPUR(K)                          ,23-14-raipurkarchuliyan,raipur k,raipurkarchuliyan
Madhya-Pradesh-SATNA_MAJHGWAN,23-13-chitrakoot majhgawan,majhgwan,chitrakoot majhgawan
Madhya-Pradesh-SATNA_SOHAWAL,23-13-satna sohawal,sohawal,satna sohawal
Madhya-Pradesh-SEONI_GHANSORE                           ,23-44-kahnapas ghansaur,ghansore,kahnapas ghansaur
Madhya-Pradesh-SHAJAPUR_M. BARODIYA,23-22-momanbadodiya,m barodiya,momanbadodiya
Madhya-Pradesh-SIDHI_WAIDHAN                            ,23-17-baidhan,waidhan,baidhan
Madhya-Pradesh-UMARIA_KARKELI                            ,23-15-umaria karkeli,karkeli,umaria karkeli
Madhya-Pradesh-UMARIA_PALI,23-15-palino-2,pali,palino-2
Maharashtra-AKOLA_AKOLA MC,27-05-akola,akola mc,akola
Maharashtra-AMRAVATI_DHAMANGAON RLY                     ,27-07-dhamangaonrailway,dhamangaon rly,dhamangaonrailway
Maharashtra-AMRAVATI_NANDGAON KH,27-07-nandgaonkhandeshwar,nandgaon kh,nandgaonkhandeshwar
Maharashtra-BID_MAJALGAON,27-27-manjlegaon,majalgaon,manjlegaon
Maharashtra-BID_SHIRUR,27-27-shirur kasar,shirur,shirur kasar
Maharashtra-GADCHIROLI_DESAIGANJ                          ,27-12-desaiganj vadasa,desaiganj,desaiganj vadasa
Maharashtra-GONDIYA_ARJUNI MOR                         ,27-11-arjunimorgaon,arjuni mor,arjunimorgaon
Maharashtra-JALGAON_MUKTAINAGAR,27-03-muktainagar edlabad,muktainagar,muktainagar edlabad
Maharashtra-KOLHAPUR_GAGANBAWADA                        ,27-34-bavda,gaganbawada,bavda
Maharashtra-LATUR_DEVANI,27-28-deoni,devani,deoni
Maharashtra-NAGPUR_NAGPUR (GRAMIN)                    ,27-09-nagpur rural,nagpur gramin,nagpur rural
Maharashtra-NANDED_NAIGAON                            ,27-15-naigaon khairgaon,naigaon,naigaon khairgaon
Maharashtra-NANDURBAR_DHADGAON,27-01-akrani,dhadgaon,akrani
Maharashtra-NASHIK_TRIMBAK,27-20-trimbakeshwar,trimbak,trimbakeshwar
Maharashtra-OSMANABAD_OMERGA,27-29-umarga,omerga,umarga
Maharashtra-YAVATMAL_PANDHARKAWADA,27-14-kelapur,pandharkawada,kelapur
Maharashtra-YAVATMAL_ZARI                               ,27-14-zarijamani,zari,zarijamani
North-Eastern-States-BISHNUPUR_BISHNUPUR                          ,14-04-bishnupurc d block,bishnupur,bishnupurc d block
North-Eastern-States-BISHNUPUR_MOIRANG                            ,14-04-moirangc d block,moirang,moirangc d block
Manipur-CHANDEL_CHAKPIKARONG,14-09-chakpikarongt d block,chakpikarong,chakpikarongt d block
North-Eastern-States-CHANDEL_CHANDEL                            ,14-09-chandelt d block,chandel,chandelt d block
Manipur-CHANDEL_MACHI                              ,14-09-machit d block,machi,machit d block
Manipur-CHANDEL_TENGNOUPAL,14-09-tengnoupalt d block,tengnoupal,tengnoupalt d block
North-Eastern-States-CHURACHANDPUR_HENGLEP                            ,14-03-henglept d block,henglep,henglept d block
Manipur-CHURACHANDPUR_SINGNGAT                           ,14-03-singngatt d block,singngat,singngatt d block
Manipur-CHURACHANDPUR_THANLON                            ,14-03-thanlont d block,thanlon,thanlont d block
Manipur-CHURACHANDPUR_TIPAIMUKH                          ,14-03-parbungt d block,tipaimukh,parbungt d block
Manipur-IMPHAL EAST_JIRIBAM                            ,14-07-jiribamc d block,jiribam,jiribamc d block
Manipur-IMPHAL EAST_SAWOMBUNG IMPHAL EAST- I           ,14-07-imphaleastic d block,sawombung imphal east-1,imphaleastic d block
Manipur-IMPHAL WEST_IMPHAL WEST - I                    ,14-06-imphalwestic d block,imphal west-1,imphalwestic d block
North-Eastern-States-SENAPATI_KANGPOKPI                          ,14-01-kangpokpit d block,kangpokpi,kangpokpit d block
Manipur-SENAPATI_SAIKUL                             ,14-01-saikult d block,saikul,saikult d block
North-Eastern-States-SENAPATI_SAITU                              ,14-01-saitugamphazolt d block,saitu,saitugamphazolt d block
Manipur-TAMENGLONG_NUNGBA,14-02-nungbat d block,nungba,nungbat d block
Manipur-TAMENGLONG_TAMEI,14-02-tameit d block,tamei,tameit d block
Manipur-TAMENGLONG_TAMENGLONG                         ,14-02-tamenglongt d block,tamenglong,tamenglongt d block
Manipur-TAMENGLONG_TOUSEM,14-02-tousemt d block,tousem,tousemt d block
Manipur-THOUBAL_KAKCHING                           ,14-05-kakchingc d block,kakching,kakchingc d block
Manipur-THOUBAL_THOUBAL,14-05-thoubalc d block,thoubal,thoubalc d block
North-Eastern-States-UKHRUL_CHINGAI                            ,14-08-chingait d block,chingai,chingait d block
North-Eastern-States-UKHRUL_KAMJONG                            ,14-08-kamjongchassadt d block,kamjong,kamjongchassadt d block
Manipur-UKHRUL_KASOM                              ,14-08-kasomkhullent d block,kasom,kasomkhullent d block
North-Eastern-States-UKHRUL_PHUNGYAR                           ,14-08-phungyarphaisatt d block,phungyar,phungyarphaisatt d block
Manipur-UKHRUL_UKHRUL,14-08-ukhrult d block,ukhrul,ukhrult d block
North-Eastern-States-EAST GARO HILLS_RONGJENG                           ,17-02-damborongjeng,rongjeng,damborongjeng
North-Eastern-States-WEST GARO HILLS_DADENGGRE                          ,17-01-dadenggiri,dadenggre,dadenggiri
Mizoram-LUNGLEI_BUNGHMUN,15-06-westbunghmun,bunghmun,westbunghmun
Mizoram-SAIHA_SAIHA,15-08-sangau,saiha,sangau
Nagaland-KOHIMA_KOHIMA URBAN,13-07-kohima,kohima urban,kohima
North-Eastern-States-TUENSANG_TUENSANG                           ,13-02-sangsangnyu,tuensang,sangsangnyu
Orissa-BOLANGIR_GUDVELA,21-24-tentulikhunti gudvella,gudvela,tentulikhunti gudvella
Orissa-BALASORE_BALASORE MPL                       ,21-08-baleshwarsadar,balasore mpl,baleshwarsadar
Orissa-DHENKANAL_DHENKANAL SADAR                    ,21-14-sadar,dhenkanal sadar,sadar
Orissa-GAJAPATI_PARALAKHEMUNDI                     ,21-20-parlakhemundi gosani,paralakhemundi,parlakhemundi gosani
Orissa-GANJAM_ASKA                               ,21-19-asika,aska,asika
Orissa-GANJAM_KABISURYANAGAR                     ,21-19-kavisurjyanagar,kabisuryanagar,kavisurjyanagar
Orissa-KALAHANDI_M. RAMPUR                          ,21-26-madanpurrampur,m rampur,madanpurrampur
Orissa-KALAHANDI_TH RAMPUR,21-26-thuamulrampur,th rampur,thuamulrampur
Orissa-KENDRAPARA_AUL                                ,21-10-aali,aul,aali
Orissa-KEONJHAR_KEONJHAR                           ,21-06-kendujhargarh,keonjhar,kendujhargarh
Orissa-KORAPUT_JEYPORE                            ,21-29-jeypur,jeypore,jeypur
Orissa-MALKANGIRI_KORUKONDA                          ,21-30-korkunda,korukonda,korkunda
Orissa-MAYURBHANJ_G B NAGAR                          ,21-07-gopabandhunagar,g b nagar,gopabandhunagar
Orissa-RAYAGADA_BISSAMCUTTACK,21-27-bishamakatak,bissamcuttack,bishamakatak
Orissa-RAYAGADA_K.SINGPUR                          ,21-27-kalyanasingpur,ksingpur,kalyanasingpur
Punjab-FIROZPUR_FEROZEPUR                          ,03-11-firozpur,ferozepur,firozpur
Punjab-MOGA_MOGA 1,03-10-mogai,moga-1,mogai
Punjab-MUKTSAR_GIDDERBAHA,03-12-kotbhai,gidderbaha,kotbhai
Punjab-RUPNAGAR_ROPAR                              ,03-07-rupnagar,ropar,rupnagar
Rajasthan-ALWAR_LAKSHMANGARH                       ,08-06-lachhmangarh,lakshmangarh,lachhmangarh
Rajasthan-BARMER_SHIV,08-17-sheo,shiv,sheo
Rajasthan-BUNDI_K.PATAN                            ,08-23-keshoraipatan,kpatan,keshoraipatan
Rajasthan-GANGANAGAR_SRI GANGANAGAR,08-01-ganganagar,sri ganganagar,ganganagar
